,ID,User,Created At,Fav Count,GEO,RE Count,Text
798,986717323678564353,pfarouche,2018-04-18 21:25:16,2,,1,I'm angry!  #VoteMitchOut  Congress can not let DJT try to stop this investigation by firing Mueller or Rosenstein.… https://t.co/Veyk263umP
799,986717323590537228,Deutspo,2018-04-18 21:25:16,0,,44,"RT @QuaintMelissaK: Retweeted Vote them Out (@VoteThemOut20):

RT funder: RETWEET if you want Dems to win another US House seat next week—w…"
800,986717320490909699,CancerLilPump,2018-04-18 21:25:16,0,,44,"RT @QuaintMelissaK: Retweeted Vote them Out (@VoteThemOut20):

RT funder: RETWEET if you want Dems to win another US House seat next week—w…"
801,986717319966666752,Minykarlea,2018-04-18 21:25:16,0,,44,"RT @QuaintMelissaK: Retweeted Vote them Out (@VoteThemOut20):

RT funder: RETWEET if you want Dems to win another US House seat next week—w…"
802,986717319010357255,aboleyn,2018-04-18 21:25:15,0,,19428,"RT @RepAdamSchiff: When the dark chapter of the Trump presidency is written in the history books, the harshest criticism will be reserved f…"
803,986717313842995201,GraceKellie3,2018-04-18 21:25:14,0,,829,"RT @RoKhanna: Why did 78 House Democrats vote with Republicans to weaken the Volcker Rule, which was passed after the financial crisis to s…"
804,986717313222299650,MacBetty,2018-04-18 21:25:14,0,,105,RT @5Strat: Rosenstein is having big problems. Congress is demanding he be removed from all Investigations involving FISA or the DOJ IG. Th…
805,986717310890270721,demindblower,2018-04-18 21:25:13,0,,1,"RT @robertd83279955: and all their cabinet and congress who backed them,,
just following order's is no excuse, lock them up https://t.co/xE…"
806,986717308428091392,wff1022,2018-04-18 21:25:13,0,,3,"RT @cate_long: ""ample funds are available for essential services and debt service"" -- Bond insurer $AGO takes ad in The Hill to start talki…"
807,986717307882885120,lakgirl27,2018-04-18 21:25:13,0,,739,"RT @SenGillibrand: The second largest blackout in world history, on U.S. soil. Our fellow Americans in Puerto Rico are facing a crisis, and…"
808,986717307261956096,Dimongrl88,2018-04-18 21:25:13,0,,121,"RT @consmover: 🚨 #BREAKING: Members Of Congress Call For Criminal Investigation Into Comey, Hillary, Lynch🚨

#LockThemAllUp
#ComeyForPrison…"
809,986717306897289216,philipnettleton,2018-04-18 21:25:12,0,,0,#Zuckerberg vs #US #Congress – #HeresHow he can address #Data #Fears | #NewScientist - #PrescientInfo https://t.co/EYnjNY55mz
810,986717304791629824,enricocaiani,2018-04-18 21:25:12,0,,7,RT @SilCastelletti: Last 12hours to go! Are you ready for #EuroPrevent ? Plan the Congress in advance with the new @escardio Congresses app…
811,986717304657465345,nufsaid2,2018-04-18 21:25:12,0,,138,"RT @brianklaas: Unfortunately, there’s a method to Trump’s madness—and his assault on the rule of law is working. Republicans in Congress a…"
812,986717304208621570,KimGordon0209,2018-04-18 21:25:12,0,,165,"RT @TT45Pac: ⚡️💣BREAKING: Congress just asked DOJ/FBI to INVESTIGATE
 
Comey
Page
Strzok
Hillary
Lynch
Yates
Boente
McCabe

👇👇👇
https://t.c…"
813,986717302476259328,CESAR2K,2018-04-18 21:25:11,0,,19429,"RT @RepAdamSchiff: When the dark chapter of the Trump presidency is written in the history books, the harshest criticism will be reserved f…"
814,986717300660158465,SNRevolution,2018-04-18 21:25:11,0,,49,"RT @jacksnowknows: A very special thanks to @KatieHill4CA for joining me on the Latest Avalanche. Members of #CA25, please make sure you're…"
815,986717299498455040,obxlover,2018-04-18 21:25:11,0,,148,"RT @RealMattCouch: Dear Congress, 

Any word on Healthcare reform for those of us that can't afford $2,000 a month for Insurance.

Signed,…"
816,986717299477499905,XdemFloridaUSA,2018-04-18 21:25:11,0,,14183,"RT @realDonaldTrump: Today’s Court decision means that Congress must close loopholes that block the removal of dangerous criminal aliens, i…"
817,986717298517073920,DanteHoelting,2018-04-18 21:25:10,0,,739,"RT @SenGillibrand: The second largest blackout in world history, on U.S. soil. Our fellow Americans in Puerto Rico are facing a crisis, and…"
818,986717297870950400,agrawalneha251,2018-04-18 21:25:10,0,,0,@Kishore8814 @PiyushGoyalOffc Asaram Bapu Ji slammed Congress for anti-Hindu work. Thus conspiracy against Him. #बापूजी_निर्दोष_हैं
819,986717297023832064,KateEads,2018-04-18 21:25:10,0,,25,RT @SenatorLeahy: Reports suggest that President Trump wants to renege on the Bipartisan Budget Agreement—which he signed—to send a package…
820,986717296268840961,deacon_speakin,2018-04-18 21:25:10,0,,139,"RT @realDailyWire: BREAKING: Members Of Congress Call For Criminal Investigation Into Comey, Hillary, Lynch https://t.co/639cNmDr1a"
821,986717296008679424,MaureenDriscoll,2018-04-18 21:25:10,0,,19429,"RT @RepAdamSchiff: When the dark chapter of the Trump presidency is written in the history books, the harshest criticism will be reserved f…"
822,986717295362920449,Briancobalt,2018-04-18 21:25:10,0,,199,"RT @BreakingNLive: BREAKING: 11 members of Congress have asked AG Jeff Sessions, FBI Director Chris Wray, and US attorney John Huber to con…"
823,986717294775754752,DianaVonRigg,2018-04-18 21:25:10,0,,4,RT @TerryBlack192: If you hated SESTA get ready! Congress is now working on the “End Banking For Human Traffickers Act” HR 2219 and S 2080.…
