,ID,User,Created At,GEO,Fav Count,RE Count,Text,pscore
30,9.38917e+17,,12/7/2017 18:43,,0,1,# TrentFranks expected to resign from # Congress: reports https://www.huffingtonpost.com/entry/trent-franks-congress_us_5a29b044e4b0a290f04f4911 â¦ via @ HuffPostPol,-1.0
31,9.38917e+17,,12/7/2017 18:43,,0,0,Good riddance â Al Franken RESIGNS! # alfranken # congress # resigns https://thehornnews.com/good-riddance-al-franken-resigns/ â¦ via @ ReadTheHornNews,3.0
32,9.38917e+17,,12/7/2017 18:42,,0,0,"With @RepTrentFranksâ resignation a reliably Republican district opens up. The next representative is likely to hold the seat for years, even decades. # AZ08 constituents deserve more than a 4 month campaign. # TrentFranks # congress # Arizona # azleg @ dougducey @ SecretaryReaganhttps://twitter.com/secretaryreagan/status/938910326455640064 â¦",2.0
33,9.38917e+17,,12/7/2017 18:42,,0,1,"# Congress Moves To Avoid Government Shutdown, Talks Resume Friday | @ Reuters | http://dlvr.it/Q4tzd2 pic.twitter.com/YaLseheWvJ",-1.0
34,9.38916e+17,,12/7/2017 18:41,,0,2,BREAKING NEWS: # Congress passes stopgap funding measure to temporarily avert # shutdown http://www.daytondailynews.com/news/local-military/house-passes-stopgap-spending-bill-avert-weekend-shutdown/LnAOYJRPaJsXNFh5sJqImL/ â¦ # USAF # Pentagon # WhiteHouse # federal,-2.0
35,9.38916e+17,,12/7/2017 18:40,,0,0,US # Congress votes to fund trillions to billionaires but refuses to fund breakfast & lunch for 9 million poor school kids?? Each member to vote against it should be beaten and caned 100 times. Rue be to you as I predict your congressional future to be very slim indeed. # Dems2018,-6.0
36,9.38916e+17,,12/7/2017 18:38,,0,0,"The only # bipartisan thing # Congress has is wind. If they spent less time grandstanding, maybe they could have asked # FBIDirectorWray relevant questions. # WrayHearing",0.0
37,9.38916e+17,,12/7/2017 18:38,,19,40,"1.THREAD # BLM runs an extra mile to convince # Congress, # Senate and # Public that # WildHorses & # Burros are overpopulated, wants to gather & sell/kill them. # WelfareRancher's propaganda. Comparing the # Livestock grazing the numbers prove: this is a MYTH. https://twitter.com/OneBloodYeAndI/status/933196164731568132/photo/1pic.twitter.com/73VVx7iWG3",-5.0
38,9.38916e+17,,12/7/2017 18:38,,0,0,its seems # CongressNeechPolitics is contemplated by # Congress in order 2 escape # RahulGandhi 4 # Gujarat failure # CongNeechPolitics # NeechAadmi # NeechRemark # NeechCongress,-3.0
39,9.38915e+17,,12/7/2017 18:37,,0,0,", @ realDonaldTrump if the # GOP in # Congress won't # Dotherightthing # Wethepeople will. It's still # Notokay and it's # Muellertime is only the law. # MeToo is a movement. Remember the # MillionWomanMarchpic.twitter.com/gvOZv3SAFF",3.0
40,9.38915e+17,,12/7/2017 18:35,,2,1,# Congress yet not able digest an outsider that from lower satrap of the society can challenge royal family and become PM # CongressNeechPolitics # ManiShankarAiyarhttps://twitter.com/NaIna0806/status/938758675455496193 â¦,-1.0
41,9.38915e+17,,12/7/2017 18:35,,1,0,How can the rest of us âearnâ $174k+ per year to procrastinate til the last possible moment and do WAY less than even the bare minimum work? # us # congress # uscongress # DoYourJob # BREAKING # govenment # funding # shutdown # justkidding # ugh,-2.0
42,9.38915e+17,,12/7/2017 18:35,,0,0,"# Congress # Passes # Bill to # Avert # Government # Shutdown, # Sett... - https://fer4.com/?p=57607 - # Newspic.twitter.com/9XWEH8pBik",-1.0
43,9.38915e+17,,12/7/2017 18:35,,0,0,"# Congress # Passes # Bill to # Avert # Government # Shutdown, # Sett... - https://fer4.com/?p=57607 - # Newspic.twitter.com/Tu4ReJGyW1",-1.0
